,unit_number,time,operational_setting_1,operations_setting_2,operational_setting_3,_sensor_1,_sensor_2,_sensor_3,_sensor_4,_sensor_5,_sensor_6,_sensor_7,_sensor_8,_sensor_9,_sensor_10,_sensor_11,_sensor_12,_sensor_13,_sensor_14,_sensor_15,_sensor_16,_sensor_17,_sensor_18,_sensor_19,_sensor_20,_sensor_21,anomaly
2711,23,90,-0.0019,-0.0003,100.0,518.67,642.12,1583.02,1397.37,14.62,21.6,554.56,2388.01,9044.69,1.3,47.08,521.44,2388.02,8139.19,8.3609,0.03,393,2388,100.0,38.9,23.4552,-1
2756,24,5,-0.004,-0.0005,100.0,518.67,641.74,1578.05,1398.49,14.62,21.6,554.49,2387.99,9066.59,1.3,46.96,523.33,2387.97,8151.23,8.4126,0.03,391,2388,100.0,38.89,23.3875,-1
2758,24,7,0.001,-0.0002,100.0,518.67,641.68,1577.6,1396.25,14.62,21.61,554.54,2388.01,9065.75,1.3,47.05,522.73,2387.94,8146.76,8.3678,0.03,391,2388,100.0,39.25,23.4678,-1
2765,24,14,-0.0014,0.0002,100.0,518.67,641.54,1580.21,1394.5,14.62,21.6,554.58,2387.98,9062.87,1.3,47.16,522.88,2388.02,8143.25,8.4114,0.03,391,2388,100.0,39.07,23.3839,-1
2768,24,17,-0.0018,-0.0002,100.0,518.67,642.15,1580.61,1396.98,14.62,21.6,554.92,2388.0,9064.27,1.3,47.16,522.37,2388.02,8147.83,8.3898,0.03,390,2388,100.0,38.98,23.4934,-1
2777,24,26,0.0008,0.0,100.0,518.67,642.01,1584.11,1399.13,14.62,21.6,554.96,2387.98,9062.98,1.3,47.21,521.93,2387.97,8153.56,8.418,0.03,390,2388,100.0,39.04,23.3954,-1
2792,24,41,-0.0019,-0.0004,100.0,518.67,642.28,1586.38,1396.96,14.62,21.6,555.03,2388.03,9053.87,1.3,47.12,522.32,2387.97,8144.04,8.3868,0.03,390,2388,100.0,39.25,23.3578,-1
2802,24,51,0.0028,-0.0005,100.0,518.67,642.31,1581.69,1395.25,14.62,21.6,554.23,2387.99,9069.29,1.3,47.16,522.73,2387.96,8150.99,8.4164,0.03,389,2388,100.0,39.27,23.3825,-1
2809,24,58,0.0004,0.0003,100.0,518.67,642.18,1589.1,1397.49,14.62,21.6,554.98,2387.93,9073.75,1.3,47.01,522.38,2387.89,8149.03,8.3945,0.03,394,2388,100.0,39.02,23.4619,-1
2835,24,84,0.0013,-0.0003,100.0,518.67,642.49,1584.97,1398.25,14.62,21.6,554.37,2387.96,9072.55,1.3,47.15,522.84,2387.97,8151.59,8.4248,0.03,392,2388,100.0,39.05,23.4639,-1
2839,24,88,-0.0009,0.0003,100.0,518.67,642.37,1582.05,1400.27,14.62,21.6,554.81,2388.03,9072.97,1.3,47.3,522.71,2388.03,8150.93,8.3887,0.03,392,2388,100.0,38.92,23.5039,-1
2845,24,94,0.0077,0.0,100.0,518.67,642.57,1584.78,1401.19,14.62,21.6,554.61,2388.02,9076.36,1.3,46.97,522.32,2388.0,8156.42,8.3881,0.03,392,2388,100.0,39.03,23.4787,-1
2957,25,20,0.0004,-0.0004,100.0,518.67,642.23,1581.28,1399.15,14.62,21.6,553.9,2388.08,9050.76,1.3,47.17,522.32,2388.02,8133.99,8.429,0.03,392,2388,100.0,38.8,23.4868,-1
3022,26,37,0.0025,0.0001,100.0,518.67,642.27,1579.21,1396.65,14.62,21.6,553.62,2388.06,9067.21,1.3,47.14,521.95,2388.08,8144.05,8.3982,0.03,392,2388,100.0,38.81,23.4139,-1
3396,29,37,-0.0032,-0.0001,100.0,518.67,641.61,1580.1,1393.59,14.62,21.6,553.93,2388.05,9055.78,1.3,47.19,521.98,2388.02,8142.1,8.421,0.03,391,2388,100.0,38.94,23.4106,-1
3865,31,192,0.0047,-0.0,100.0,518.67,643.86,1597.63,1433.36,14.62,21.61,551.65,2388.23,9087.68,1.3,48.14,520.26,2388.18,8161.0,8.5274,0.03,394,2388,100.0,38.69,23.0716,-1
3873,32,4,0.0026,0.0003,100.0,518.67,641.69,1586.05,1405.57,14.62,21.6,554.8,2387.97,9073.6,1.3,47.2,522.52,2388.03,8153.11,8.4107,0.03,391,2388,100.0,39.1,23.3432,-1
3875,32,6,0.0009,-0.0002,100.0,518.67,642.27,1578.2,1396.14,14.62,21.6,554.24,2387.95,9068.17,1.3,47.27,522.37,2388.01,8148.66,8.4048,0.03,392,2388,100.0,38.98,23.4563,-1
3893,32,24,0.0006,0.0001,100.0,518.67,642.05,1581.65,1396.91,14.62,21.6,554.47,2388.03,9071.93,1.3,47.19,522.43,2388.03,8149.1,8.38,0.03,390,2388,100.0,39.05,23.4839,-1
3894,32,25,0.0014,0.0003,100.0,518.67,642.79,1586.33,1396.01,14.62,21.6,554.61,2388.04,9073.04,1.3,47.35,522.97,2387.97,8156.59,8.4072,0.03,392,2388,100.0,38.92,23.5009,-1
3906,32,37,-0.0028,0.0002,100.0,518.67,642.36,1581.43,1397.16,14.62,21.6,554.83,2388.01,9073.0,1.3,47.15,522.08,2388.04,8150.8,8.4118,0.03,390,2388,100.0,39.06,23.4594,-1
3919,32,50,0.0003,0.0003,100.0,518.67,642.41,1584.35,1398.47,14.62,21.6,554.29,2387.99,9064.27,1.3,47.08,522.83,2387.99,8153.55,8.3818,0.03,390,2388,100.0,39.15,23.4114,-1
3938,32,69,-0.0001,0.0003,100.0,518.67,642.19,1579.07,1399.48,14.62,21.6,555.0,2388.0,9074.91,1.3,47.15,522.02,2388.01,8152.05,8.3722,0.03,390,2388,100.0,38.97,23.3134,-1
3945,32,76,-0.0021,0.0003,100.0,518.67,641.82,1586.79,1401.62,14.62,21.6,554.29,2387.96,9072.61,1.3,47.11,522.23,2388.03,8149.48,8.4261,0.03,392,2388,100.0,39.02,23.4069,-1
3953,32,84,0.0039,0.0001,100.0,518.67,642.09,1584.74,1402.4,14.62,21.6,554.67,2387.98,9074.68,1.3,47.18,522.51,2387.94,8149.69,8.4364,0.03,392,2388,100.0,38.88,23.4548,-1
3988,32,119,0.0,0.0005,100.0,518.67,643.03,1590.15,1401.62,14.62,21.6,554.3,2388.03,9084.2,1.3,47.4,521.72,2387.98,8162.29,8.4204,0.03,392,2388,100.0,38.79,23.4409,-1
4068,34,4,-0.0042,0.0003,100.0,518.67,641.88,1592.14,1400.88,14.62,21.6,555.36,2388.03,9065.71,1.3,47.28,522.1,2387.99,8146.47,8.3657,0.03,391,2388,100.0,39.05,23.4411,-1
4072,34,8,-0.0,-0.0003,100.0,518.67,642.13,1586.75,1401.19,14.62,21.6,555.21,2387.96,9069.48,1.3,47.16,523.14,2387.98,8149.37,8.3844,0.03,392,2388,100.0,39.11,23.5353,-1
4090,34,26,-0.0011,0.0004,100.0,518.67,642.59,1586.31,1387.99,14.62,21.6,554.98,2387.97,9059.68,1.3,47.09,522.49,2387.94,8143.4,8.3868,0.03,392,2388,100.0,39.29,23.4472,-1
4109,34,45,0.0041,-0.0001,100.0,518.67,642.64,1581.24,1393.81,14.62,21.6,554.42,2387.97,9072.09,1.3,47.08,522.57,2388.06,8145.47,8.3796,0.03,391,2388,100.0,38.99,23.4678,-1
4118,34,54,0.005,0.0002,100.0,518.67,642.31,1583.81,1394.84,14.62,21.6,554.98,2387.97,9059.31,1.3,47.1,521.97,2388.02,8152.17,8.3894,0.03,391,2388,100.0,39.03,23.4289,-1
4125,34,61,0.0025,-0.0001,100.0,518.67,642.21,1584.46,1394.44,14.62,21.6,553.68,2388.07,9068.83,1.3,47.15,522.17,2387.9,8145.37,8.4051,0.03,391,2388,100.0,39.02,23.3702,-1
4129,34,65,-0.0001,0.0006,100.0,518.67,642.34,1584.28,1390.15,14.62,21.6,554.51,2388.02,9053.87,1.3,47.12,522.18,2387.99,8145.85,8.3903,0.03,391,2388,100.0,38.99,23.4536,-1
4265,34,201,-0.0033,0.0002,100.0,518.67,643.36,1599.05,1432.95,14.62,21.61,551.79,2388.24,9042.65,1.3,48.12,519.98,2388.3,8124.67,8.5049,0.03,396,2388,100.0,38.42,23.112,-1
4267,34,203,-0.0011,-0.0001,100.0,518.67,643.74,1600.38,1427.49,14.62,21.61,551.77,2388.29,9036.27,1.3,48.13,519.44,2388.25,8122.11,8.5158,0.03,397,2388,100.0,38.62,23.0641,-1
4625,37,34,0.0003,0.0001,100.0,518.67,642.2,1579.17,1399.68,14.62,21.6,554.13,2387.99,9053.26,1.3,47.11,522.32,2388.02,8135.13,8.418,0.03,391,2388,100.0,39.02,23.4964,-1
4850,39,13,0.0013,-0.0001,100.0,518.67,642.44,1584.98,1397.27,14.62,21.6,554.29,2388.03,9056.72,1.3,47.12,521.55,2387.96,8143.81,8.3907,0.03,391,2388,100.0,39.11,23.4645,-1
5015,41,8,-0.0021,0.0004,100.0,518.67,641.41,1589.23,1398.99,14.62,21.6,554.49,2388.03,9055.12,1.3,47.09,522.12,2388.04,8134.64,8.3914,0.03,392,2388,100.0,39.06,23.4008,-1
5029,41,22,-0.0026,-0.0003,100.0,518.67,642.05,1580.04,1392.37,14.62,21.6,554.78,2388.03,9045.52,1.3,47.09,522.32,2388.03,8132.64,8.3953,0.03,391,2388,100.0,38.95,23.3988,-1
5041,41,34,0.0032,0.0004,100.0,518.67,641.78,1587.1,1402.55,14.62,21.6,553.73,2388.05,9051.54,1.3,47.08,521.59,2388.03,8128.12,8.4094,0.03,392,2388,100.0,39.13,23.41,-1
5171,42,41,0.0001,0.0002,100.0,518.67,641.9,1580.47,1390.52,14.62,21.6,553.49,2387.99,9044.04,1.3,47.28,522.3,2388.0,8132.09,8.3951,0.03,390,2388,100.0,38.97,23.3292,-1
6024,49,63,0.003,0.0004,100.0,518.67,641.79,1586.0,1399.0,14.62,21.6,554.16,2387.94,9066.07,1.3,47.18,522.99,2387.97,8144.14,8.3839,0.03,392,2388,100.0,39.04,23.3614,-1
6035,49,74,0.0029,-0.0001,100.0,518.67,642.27,1585.01,1393.18,14.62,21.6,554.56,2387.97,9064.29,1.3,47.14,522.62,2387.99,8141.84,8.386,0.03,391,2388,100.0,38.94,23.4262,-1
6047,49,86,0.0028,0.0002,100.0,518.67,641.9,1577.73,1390.12,14.62,21.6,554.71,2388.02,9053.11,1.3,47.19,522.28,2388.02,8142.33,8.4059,0.03,392,2388,100.0,38.97,23.3536,-1
6057,49,96,-0.0035,0.0004,100.0,518.67,642.4,1581.26,1397.08,14.62,21.6,554.35,2388.05,9067.86,1.3,47.13,522.06,2387.99,8150.98,8.3795,0.03,392,2388,100.0,39.01,23.4952,-1
6060,49,99,0.0012,-0.0004,100.0,518.67,642.41,1581.64,1393.51,14.62,21.6,554.93,2388.04,9057.48,1.3,47.36,522.4,2388.02,8144.2,8.4045,0.03,393,2388,100.0,39.14,23.4221,-1
6113,49,152,-0.0017,0.0004,100.0,518.67,642.67,1587.01,1402.55,14.62,21.6,554.71,2388.07,9060.82,1.3,47.07,521.39,2388.0,8144.56,8.3872,0.03,393,2388,100.0,38.84,23.4042,-1
6294,50,30,-0.0026,-0.0001,100.0,518.67,642.09,1582.91,1401.13,14.62,21.6,554.75,2387.99,9061.83,1.3,47.4,522.27,2388.09,8144.11,8.4225,0.03,391,2388,100.0,39.15,23.4271,-1
6300,50,36,-0.0005,-0.0001,100.0,518.67,641.72,1584.22,1401.21,14.62,21.6,554.82,2388.03,9057.43,1.3,47.15,522.27,2388.07,8143.13,8.4204,0.03,392,2388,100.0,39.08,23.3219,-1
6483,52,1,-0.0015,0.0003,100.0,518.67,641.92,1584.7,1385.64,14.62,21.61,555.28,2387.93,9057.42,1.3,46.97,522.64,2388.0,8138.91,8.3665,0.03,390,2388,100.0,39.04,23.4444,-1
6486,52,4,0.0009,0.0,100.0,518.67,642.35,1572.84,1397.11,14.62,21.6,555.04,2387.97,9049.69,1.3,47.06,523.29,2388.02,8132.4,8.3754,0.03,390,2388,100.0,39.02,23.3757,-1
6491,52,9,-0.0032,0.0001,100.0,518.67,641.8,1582.52,1394.98,14.62,21.6,555.14,2388.04,9045.51,1.3,47.05,523.05,2388.01,8139.31,8.3527,0.03,390,2388,100.0,39.02,23.5414,-1
6492,52,10,0.0023,-0.0001,100.0,518.67,641.81,1586.38,1396.28,14.62,21.6,554.43,2388.08,9052.78,1.3,47.08,522.35,2388.05,8135.85,8.3556,0.03,391,2388,100.0,39.01,23.5272,-1
6494,52,12,0.0011,0.0003,100.0,518.67,641.61,1578.43,1393.37,14.62,21.6,554.32,2388.02,9056.9,1.3,47.21,522.12,2388.01,8136.21,8.3921,0.03,392,2388,100.0,39.24,23.4113,-1
6495,52,13,-0.0024,0.0002,100.0,518.67,642.36,1584.6,1390.56,14.62,21.6,555.03,2387.95,9051.61,1.3,47.2,522.54,2388.03,8136.17,8.4239,0.03,391,2388,100.0,38.94,23.4847,-1
6512,52,30,-0.0001,-0.0001,100.0,518.67,641.73,1579.43,1398.47,14.62,21.61,554.41,2388.03,9042.27,1.3,47.01,522.44,2387.95,8138.68,8.3545,0.03,390,2388,100.0,39.17,23.4752,-1
6520,52,38,0.0024,0.0001,100.0,518.67,641.95,1580.93,1397.66,14.62,21.6,555.11,2388.03,9051.51,1.3,47.17,522.24,2388.02,8141.43,8.3563,0.03,390,2388,100.0,38.89,23.5327,-1
6527,52,45,0.0021,-0.0,100.0,518.67,641.72,1586.72,1403.81,14.62,21.6,555.28,2387.99,9057.95,1.3,47.13,522.49,2387.97,8133.22,8.3687,0.03,390,2388,100.0,38.96,23.3908,-1
6528,52,46,0.0002,0.0004,100.0,518.67,641.78,1583.44,1398.84,14.62,21.6,554.59,2388.03,9055.26,1.3,47.17,523.08,2388.03,8135.02,8.3991,0.03,392,2388,100.0,39.04,23.3698,-1
6532,52,50,0.0007,-0.0002,100.0,518.67,641.89,1578.93,1398.02,14.62,21.6,554.66,2388.03,9050.0,1.3,47.11,522.66,2387.95,8141.17,8.3586,0.03,392,2388,100.0,38.95,23.4299,-1
6538,52,56,-0.0006,0.0004,100.0,518.67,642.69,1585.61,1397.96,14.62,21.6,554.48,2388.01,9059.51,1.3,46.99,522.33,2388.05,8136.15,8.4025,0.03,392,2388,100.0,39.06,23.4487,-1
6541,52,59,0.0023,-0.0002,100.0,518.67,641.68,1582.13,1397.98,14.62,21.6,555.4,2388.02,9059.33,1.3,46.94,522.63,2387.95,8137.68,8.4001,0.03,391,2388,100.0,39.09,23.4937,-1
6543,52,61,0.0019,0.0001,100.0,518.67,642.3,1590.63,1392.86,14.62,21.6,555.36,2388.01,9061.72,1.3,47.14,522.92,2388.02,8140.51,8.3746,0.03,391,2388,100.0,39.07,23.4937,-1
6547,52,65,-0.0037,0.0001,100.0,518.67,641.29,1587.8,1399.62,14.62,21.6,554.55,2388.02,9051.73,1.3,47.19,522.42,2387.97,8140.5,8.3666,0.03,392,2388,100.0,39.04,23.4588,-1
6550,52,68,0.0064,-0.0,100.0,518.67,641.78,1582.88,1394.62,14.62,21.6,554.47,2388.02,9054.15,1.3,47.17,522.62,2387.99,8136.45,8.3999,0.03,392,2388,100.0,39.13,23.3722,-1
6556,52,74,-0.0027,-0.0002,100.0,518.67,641.95,1583.02,1403.08,14.62,21.6,554.27,2388.0,9059.1,1.3,47.11,522.09,2387.96,8141.03,8.393,0.03,392,2388,100.0,39.12,23.4396,-1
6570,52,88,-0.0032,0.0004,100.0,518.67,642.62,1587.54,1391.06,14.62,21.6,554.02,2388.05,9059.7,1.3,46.97,522.4,2388.02,8139.37,8.3914,0.03,391,2388,100.0,38.98,23.4598,-1
6592,52,110,0.0002,-0.0003,100.0,518.67,642.26,1592.95,1395.79,14.62,21.6,554.54,2388.04,9064.84,1.3,47.32,522.92,2388.01,8144.89,8.3948,0.03,391,2388,100.0,38.95,23.517,-1
6597,52,115,-0.001,0.0002,100.0,518.67,642.26,1589.88,1392.41,14.62,21.6,554.38,2387.98,9061.62,1.3,47.31,522.49,2388.01,8137.51,8.365,0.03,391,2388,100.0,39.05,23.3327,-1
6607,52,125,-0.0033,0.0003,100.0,518.67,642.29,1585.94,1396.71,14.62,21.6,554.34,2388.01,9065.38,1.3,46.99,522.07,2388.02,8148.7,8.3948,0.03,392,2388,100.0,39.07,23.3694,-1
6839,54,4,-0.002,0.0,100.0,518.67,642.03,1587.43,1389.98,14.62,21.6,555.1,2387.91,9052.18,1.3,47.19,523.17,2387.98,8133.55,8.3708,0.03,391,2388,100.0,39.26,23.3482,-1
6846,54,11,0.0008,-0.0001,100.0,518.67,641.78,1581.88,1389.43,14.62,21.6,555.0,2388.01,9053.73,1.3,47.17,523.44,2387.96,8136.49,8.3643,0.03,391,2388,100.0,38.99,23.4346,-1
6856,54,21,0.0018,0.0001,100.0,518.67,642.02,1586.79,1392.02,14.62,21.6,555.28,2388.04,9057.08,1.3,47.14,522.9,2387.99,8130.57,8.3969,0.03,393,2388,100.0,39.05,23.4844,-1
6860,54,25,-0.0005,-0.0003,100.0,518.67,641.74,1585.42,1395.67,14.62,21.6,554.78,2388.03,9055.97,1.3,47.22,523.42,2388.04,8139.18,8.3994,0.03,392,2388,100.0,39.01,23.4615,-1
6862,54,27,-0.0024,-0.0003,100.0,518.67,641.78,1581.22,1396.55,14.62,21.6,554.38,2388.06,9057.29,1.3,47.08,522.52,2388.04,8136.03,8.3903,0.03,391,2388,100.0,39.1,23.4962,-1
6864,54,29,-0.0027,0.0005,100.0,518.67,642.41,1575.42,1398.43,14.62,21.6,554.63,2387.98,9052.75,1.3,47.07,522.52,2388.06,8139.47,8.4069,0.03,392,2388,100.0,39.15,23.5073,-1
6898,54,63,-0.0009,0.0004,100.0,518.67,642.03,1578.84,1394.22,14.62,21.6,554.94,2388.08,9058.87,1.3,47.06,522.52,2387.99,8138.19,8.4174,0.03,392,2388,100.0,38.97,23.356,-1
6928,54,93,-0.0002,-0.0002,100.0,518.67,641.76,1581.82,1393.73,14.62,21.6,555.12,2388.04,9056.61,1.3,47.23,522.28,2388.03,8143.77,8.4013,0.03,391,2388,100.0,38.84,23.4426,-1
7200,56,131,0.002,0.0002,100.0,518.67,643.42,1603.53,1415.67,14.62,21.61,552.04,2388.3,9041.73,1.3,48.04,520.47,2388.26,8119.01,8.4756,0.03,397,2388,100.0,38.69,23.2307,-1
7201,56,132,0.0008,0.0003,100.0,518.67,644.04,1591.31,1425.66,14.62,21.61,552.06,2388.28,9043.76,1.3,47.9,520.03,2388.21,8115.02,8.5215,0.03,395,2388,100.0,38.51,22.985,-1
7554,59,13,0.0044,0.0001,100.0,518.67,641.95,1582.17,1401.34,14.62,21.6,554.97,2388.04,9046.26,1.3,47.36,521.92,2387.96,8137.88,8.3939,0.03,391,2388,100.0,39.02,23.5199,-1
7582,59,41,-0.0003,0.0003,100.0,518.67,641.94,1580.4,1401.81,14.62,21.6,554.09,2388.01,9063.71,1.3,47.13,522.37,2388.05,8136.08,8.3845,0.03,392,2388,100.0,39.02,23.5471,-1
7611,59,70,0.0021,-0.0001,100.0,518.67,642.41,1588.33,1396.52,14.62,21.6,555.02,2387.99,9055.0,1.3,47.18,522.34,2388.04,8146.21,8.3701,0.03,391,2388,100.0,39.12,23.284,-1
7619,59,78,0.0005,0.0,100.0,518.67,641.46,1583.12,1401.5,14.62,21.6,554.55,2388.05,9058.81,1.3,47.24,522.28,2388.02,8143.83,8.4223,0.03,391,2388,100.0,39.12,23.3662,-1
7787,61,5,0.0046,0.0004,100.0,518.67,641.79,1574.13,1391.45,14.62,21.6,555.07,2388.01,9070.81,1.3,47.3,522.48,2388.01,8149.92,8.4029,0.03,392,2388,100.0,38.91,23.3685,-1
7794,61,12,-0.0007,-0.0001,100.0,518.67,641.94,1580.92,1397.59,14.62,21.6,554.49,2387.95,9067.35,1.3,47.22,522.76,2387.99,8143.28,8.3934,0.03,391,2388,100.0,38.99,23.6419,-1
7943,62,2,0.0006,-0.0,100.0,518.67,642.33,1579.35,1393.61,14.62,21.6,553.94,2387.97,9056.41,1.3,47.18,522.0,2387.99,8133.43,8.3864,0.03,391,2388,100.0,39.01,23.4976,-1
7947,62,6,-0.003,0.0003,100.0,518.67,642.15,1587.8,1390.52,14.62,21.6,554.68,2388.04,9058.07,1.3,47.11,522.42,2388.02,8143.57,8.388,0.03,391,2388,100.0,39.01,23.4524,-1
7954,62,13,-0.0005,0.0003,100.0,518.67,641.94,1578.28,1399.27,14.62,21.6,554.88,2387.99,9050.02,1.3,47.11,522.32,2388.02,8138.2,8.405,0.03,390,2388,100.0,38.93,23.4173,-1
7959,62,18,-0.0012,0.0001,100.0,518.67,642.3,1583.94,1403.1,14.62,21.6,554.62,2387.96,9058.28,1.3,46.93,522.94,2388.05,8134.32,8.3908,0.03,392,2388,100.0,39.1,23.6229,-1
7963,62,22,0.0022,0.0003,100.0,518.67,642.28,1575.86,1400.03,14.62,21.6,555.45,2387.96,9060.32,1.3,46.98,522.36,2387.98,8136.7,8.3791,0.03,392,2388,100.0,39.16,23.418,-1
7968,62,27,-0.0008,0.0003,100.0,518.67,641.97,1584.88,1399.03,14.62,21.6,554.39,2387.98,9051.11,1.3,47.09,522.45,2388.04,8134.98,8.3685,0.03,390,2388,100.0,39.22,23.446,-1
7986,62,45,0.0011,-0.0003,100.0,518.67,641.55,1585.08,1394.21,14.62,21.6,554.72,2388.0,9041.05,1.3,47.14,522.15,2388.0,8137.74,8.3519,0.03,392,2388,100.0,39.14,23.365,-1
7993,62,52,-0.0023,0.0003,100.0,518.67,642.25,1581.26,1400.23,14.62,21.6,553.96,2388.01,9054.34,1.3,47.18,522.55,2388.04,8132.96,8.431,0.03,392,2388,100.0,39.12,23.4662,-1
